#Transcript position	Transcript coverage profile
0.0	156695.22546399635
1.0	163597.880143577
2.0	170854.98726881985
3.0	177705.70433783176
4.0	184378.53078548747
5.0	191623.0469451254
6.0	199061.0174507841
7.0	206192.28701067725
8.0	212298.97044561003
9.0	217885.06352688637
10.0	223487.33551000437
11.0	228938.1877366693
12.0	232380.98781014042
13.0	235457.64670766421
14.0	239158.50339139966
15.0	243549.73798449308
16.0	246173.27908008645
17.0	248461.02456171252
18.0	250507.02380185586
19.0	252538.52662596232
20.0	254687.10116382551
21.0	255864.7628226294
22.0	257399.03947502756
23.0	259317.8514550147
24.0	260620.9456252368
25.0	261595.13216088575
26.0	262948.7821685527
27.0	264804.07080345816
28.0	267606.48210661055
29.0	269456.72938676004
30.0	269369.57325315336
31.0	270325.8022857196
32.0	269774.4278824041
33.0	269099.23435057304
34.0	269372.7324634079
35.0	269421.0916677025
36.0	267996.41313608235
37.0	267842.9970899607
38.0	267058.0142113336
39.0	267291.2581454118
40.0	266974.3395724955
41.0	265680.6739445948
42.0	266516.2177819863
43.0	269183.5859656187
44.0	269833.98993924516
45.0	271312.63503976236
46.0	271926.72655601066
47.0	271877.588238068
48.0	272137.0487902407
49.0	271734.28217995615
50.0	271749.0116484392
51.0	272326.34088726976
52.0	271445.7381124311
53.0	271247.57317374216
54.0	271010.309275391
55.0	271160.44354818604
56.0	271970.3665867836
57.0	273628.8835062419
58.0	273921.72042027797
59.0	273130.3881545346
60.0	273898.14949218225
61.0	273981.10957504535
62.0	274271.8613326291
63.0	273989.12074914057
64.0	273958.2261719997
65.0	273748.20154179813
66.0	273190.6590574422
67.0	272481.7890495636
68.0	271142.97159070673
69.0	270204.9774716328
70.0	269152.9241659163
71.0	269880.2574060682
72.0	269926.07326124486
73.0	268393.9092060605
74.0	268282.942722076
75.0	268063.8055900628
76.0	266264.42671314266
77.0	264206.232853419
78.0	263011.3940091838
79.0	262772.501983092
80.0	261941.83797825314
81.0	259882.35168133932
82.0	257615.8443901316
83.0	254760.80507449486
84.0	249450.7005563792
85.0	246244.91288697315
86.0	239364.27222628894
87.0	232474.93439653536
88.0	223957.52290223973
89.0	212903.3667361508
90.0	200928.91223594386
91.0	187111.90919751898
92.0	171792.39757583264
93.0	154033.69443722945
94.0	136440.57275935123
95.0	117963.55588286388
96.0	95696.31121685084
97.0	70943.64576683368
98.0	43142.592216815225
99.0	14092.050712806453
