#Transcript position	Transcript coverage profile
0.0	33166.515517129
1.0	34665.322224753174
2.0	36657.297216570696
3.0	38956.53711550659
4.0	41454.249828330074
5.0	43739.51110569345
6.0	46918.326717921314
7.0	49780.754142904785
8.0	52002.6569128029
9.0	54687.109038586765
10.0	57115.46098478008
11.0	59441.11650364723
12.0	60347.81933773518
13.0	61180.256812940184
14.0	62433.11010495129
15.0	64536.49296215844
16.0	65195.80906071959
17.0	65451.04190718013
18.0	65709.26595047316
19.0	66674.33597690822
20.0	67547.82195976029
21.0	68419.09251420478
22.0	68785.80367403435
23.0	69262.8163212678
24.0	69977.91417480524
25.0	70344.50371029763
26.0	70660.54063980812
27.0	71055.34636153407
28.0	72622.48960255185
29.0	73393.30552618703
30.0	73116.5232080023
31.0	73410.98232882652
32.0	73307.98302151782
33.0	72764.87361520976
34.0	72458.91060266731
35.0	71707.55817930771
36.0	70180.824322623
37.0	69786.11243019397
38.0	69379.84328536586
39.0	68746.92435481864
40.0	67980.05083062507
41.0	66675.03358440041
42.0	66858.51776190783
43.0	68437.7326194407
44.0	68730.48297445054
45.0	70620.11795068881
46.0	71083.29992289928
47.0	71493.77541308508
48.0	72000.22889960486
49.0	72417.56941815244
50.0	72563.70202896431
51.0	73007.04733080273
52.0	72634.5560356154
53.0	72686.96485669493
54.0	73004.13313681842
55.0	73162.57301294783
56.0	73114.48549004961
57.0	74425.21283991041
58.0	74569.92747210621
59.0	74068.63491108074
60.0	74423.31968183664
61.0	74314.99867717488
62.0	73837.16668769202
63.0	72968.81648075048
64.0	72496.12506923472
65.0	72332.34831925487
66.0	72580.27660149832
67.0	72192.06889627583
68.0	71611.43582325657
69.0	71175.5259932553
70.0	71042.98489052171
71.0	71437.42903066312
72.0	70963.30354066008
73.0	69482.23320655827
74.0	68939.86350646614
75.0	68284.27503043305
76.0	66679.6408739394
77.0	64826.24289225298
78.0	64379.63744092816
79.0	64283.11586496277
80.0	63862.586491446076
81.0	63298.55523016695
82.0	61711.835487565695
83.0	60166.10430176611
84.0	57555.57027616223
85.0	56581.71179679784
86.0	54417.58266428107
87.0	52341.87654719903
88.0	49975.81671030339
89.0	47374.27332342941
90.0	43799.66904324876
91.0	38950.57920647818
92.0	34795.655880331775
93.0	28768.105946386953
94.0	24677.338735104087
95.0	20194.977116557242
96.0	15445.470007466007
97.0	10924.669252709404
98.0	6716.4180157628525
99.0	2338.3901326984856
